sno,Influencer_ID,Influencer_Name,Platform,Influencer_Tier,Followers,Likes,Comments,Shares,Campaign_ID,Campaign_Cost,Revenue,Campaign_Type,Total_Engagement,Engagement_Rate,Calculated_ROI,CPE,Data_Status,Is_Undervalued_Influencer
79,INF0069,Influencer_69,Facebook,Micro,620745,31960,1346,629,CAM00342,2280,12073,Product Launch,33935,0.0547,4.2952,0.0672,Verified,No
80,INF0044,Influencer_44,Facebook,Nano,931491,10075,1740,152,CAM00218,2564,18014,Promotion,11967,0.0128,6.0257,0.2143,Verified,No
82,INF0008,Influencer_8,Youtube,Macro,687976,30951,2333,581,CAM00036,4140,16569,Giveaway,33865,0.0492,3.0022,0.1223,Verified,No
83,INF0008,Influencer_8,Instagram,Nano,270544,11208,1780,514,CAM00037,3241,23870,Product Launch,13502,0.0499,6.365,0.24,Verified,No
88,INF0008,Influencer_8,Facebook,Macro,782474,30951,4494,2068,CAM00040,4543,46669,Promotion,37513,0.0479,9.2727,0.1211,Verified,No
89,INF0020,Influencer_20,Instagram,Macro,895751,12738,3193,138,CAM00100,299,9219,Giveaway,16069,0.0179,29.8328,0.0186,Verified,Yes
90,INF0044,Influencer_44,Youtube,Mega,923588,74803,5689,3054,CAM00220,4876,58131,Promotion,83546,0.0905,10.9219,0.0584,Verified,No
91,INF0009,Influencer_9,Youtube,Micro,660347,28383,4587,1102,CAM00041,4785,37905,Promotion,34072,0.0516,6.9216,0.1404,Verified,No
92,INF0045,Influencer_45,Facebook,Macro,998899,16043,2203,382,CAM00221,4619,15952,Promotion,18628,0.0186,2.4536,0.248,Verified,No
93,INF0069,Influencer_69,Instagram,Micro,71119,3476,402,119,CAM00343,2887,7579,Giveaway,3997,0.0562,1.6252,0.7223,Verified,No
94,INF0009,Influencer_9,Instagram,Micro,726451,40531,5895,811,CAM00042,1743,39233,Product Launch,47237,0.065,21.5089,0.0369,Verified,Yes
95,INF0045,Influencer_45,Youtube,Macro,515257,45568,8932,2221,CAM00222,3797,53587,Promotion,56721,0.1101,13.113,0.0669,Verified,No
96,INF0021,Influencer_21,Facebook,Micro,437341,37096,3567,1582,CAM00101,285,27924,Promotion,42245,0.0966,96.9789,0.0067,Verified,Yes
99,INF0021,Influencer_21,Youtube,Mega,811717,65963,9135,1926,CAM00102,3328,63951,Giveaway,77024,0.0949,18.216,0.0432,Verified,No
100,INF0045,Influencer_45,Instagram,Micro,677787,53032,2847,577,CAM00223,4049,48002,Giveaway,56456,0.0833,10.8553,0.0717,Verified,No
103,INF0021,Influencer_21,Instagram,Macro,764185,48214,5247,1325,CAM00104,4592,51933,Giveaway,54786,0.0717,10.3095,0.0838,Verified,No
104,INF0009,Influencer_9,Facebook,Micro,958294,52060,4127,2025,CAM00044,4804,51038,Promotion,58212,0.0607,9.6241,0.0825,Verified,No
107,INF0010,Influencer_10,Youtube,Micro,179274,13856,2673,321,CAM00046,351,13281,Product Launch,16850,0.094,36.8376,0.0208,Verified,Yes
109,INF0010,Influencer_10,Instagram,Macro,460451,39953,3762,1014,CAM00047,1234,30024,Promotion,44729,0.0971,23.3306,0.0276,Verified,Yes
110,INF0022,Influencer_22,Facebook,Micro,568376,54255,3909,2553,CAM00106,2882,42887,Product Launch,60717,0.1068,13.881,0.0475,Verified,No
112,INF0022,Influencer_22,Instagram,Micro,517307,9199,1316,219,CAM00107,3868,19034,Promotion,10734,0.0207,3.9209,0.3604,Verified,No
115,INF0010,Influencer_10,Facebook,Nano,177089,39007,2098,517,CAM00050,2856,17792,Product Launch,41622,0.235,5.2297,0.0686,Verified,No
116,INF0011,Influencer_11,Youtube,Micro,445209,39194,7328,1193,CAM00051,4181,50085,Promotion,47715,0.1072,10.9792,0.0876,Verified,No
117,INF0011,Influencer_11,Facebook,Micro,265512,4350,476,52,CAM00052,1216,5656,Promotion,4878,0.0184,3.6513,0.2493,Verified,No
120,INF0070,Influencer_70,Youtube,Micro,684404,20460,4025,816,CAM00346,696,18813,Product Launch,25301,0.037,26.0302,0.0275,Verified,Yes
121,INF0070,Influencer_70,Facebook,Micro,633543,16452,2167,812,CAM00347,2631,20804,Product Launch,19431,0.0307,6.9073,0.1354,Verified,No
123,INF0012,Influencer_12,Instagram,Macro,612523,52543,4159,1389,CAM00056,4414,56752,Promotion,58091,0.0948,11.8573,0.076,Verified,No
125,INF0012,Influencer_12,Youtube,Nano,871045,11929,1310,326,CAM00057,1419,9452,Promotion,13565,0.0156,5.661,0.1046,Verified,No
128,INF0046,Influencer_46,Youtube,Nano,454761,36178,3057,551,CAM00226,3828,42070,Promotion,39786,0.0875,9.9901,0.0962,Verified,No
130,INF0046,Influencer_46,Instagram,Macro,769747,9866,1575,457,CAM00227,4076,27938,Promotion,11898,0.0155,5.8543,0.3426,Verified,No
133,INF0013,Influencer_13,Facebook,Macro,715998,10234,1380,167,CAM00061,2794,13216,Giveaway,11781,0.0165,3.7301,0.2372,Verified,No
134,INF0070,Influencer_70,Instagram,Nano,485814,26975,4750,1060,CAM00349,3804,37613,Giveaway,32785,0.0675,8.8877,0.116,Verified,No
135,INF0013,Influencer_13,Instagram,Nano,10435,147,8,6,CAM00062,3109,4104,Giveaway,161,0.0154,0.32,19.3106,Verified,No
137,INF0013,Influencer_13,Youtube,Micro,307063,5774,714,167,CAM00063,1807,10479,Giveaway,6655,0.0217,4.7991,0.2715,Verified,No
140,INF0046,Influencer_46,Facebook,Micro,281783,16594,1226,301,CAM00230,3726,25622,Giveaway,18121,0.0643,5.8765,0.2056,Verified,No
141,INF0047,Influencer_47,Facebook,Macro,730678,37142,4811,397,CAM00231,4494,31482,Product Launch,42350,0.058,6.0053,0.1061,Verified,No
142,INF0047,Influencer_47,Youtube,Micro,239260,22027,4298,383,CAM00232,576,19762,Promotion,26708,0.1116,33.309,0.0216,Verified,Yes
147,INF0048,Influencer_48,Facebook,Nano,870741,85091,13468,3087,CAM00236,778,72321,Product Launch,101646,0.1167,91.9576,0.0077,Verified,Yes
149,INF0048,Influencer_48,Youtube,Nano,388960,23874,3470,699,CAM00238,2770,23584,Product Launch,28043,0.0721,7.5141,0.0988,Verified,No
152,INF0049,Influencer_49,Instagram,Micro,517307,17959,1008,661,CAM00241,1945,18356,Giveaway,19628,0.0379,8.4375,0.0991,Verified,No
153,INF0014,Influencer_14,Instagram,Macro,486610,54588,7940,2294,CAM00066,1981,48242,Promotion,64822,0.1332,23.3523,0.0306,Verified,Yes
157,INF0049,Influencer_49,Youtube,Macro,328025,30889,5933,1081,CAM00243,1157,28851,Promotion,37903,0.1155,23.936,0.0305,Verified,Yes
158,INF0022,Influencer_22,Youtube,Macro,902791,23029,1815,267,CAM00110,4749,24574,Product Launch,25111,0.0278,4.1746,0.1891,Verified,No
159,INF0014,Influencer_14,Youtube,Macro,152836,2482,161,26,CAM00068,2596,10054,Promotion,2669,0.0175,2.8729,0.9726,Verified,No
160,INF0049,Influencer_49,Facebook,Macro,550114,29483,4396,946,CAM00244,3511,37895,Product Launch,34825,0.0633,9.7932,0.1008,Verified,No
161,INF0023,Influencer_23,Facebook,Nano,286205,5146,350,146,CAM00111,2443,14442,Product Launch,5642,0.0197,4.9116,0.433,Verified,No
163,INF0050,Influencer_50,Youtube,Micro,212957,13500,1991,393,CAM00246,1316,12478,Product Launch,15884,0.0746,8.4818,0.0829,Verified,No
164,INF0050,Influencer_50,Facebook,Micro,152094,7957,1286,357,CAM00247,2406,14956,Product Launch,9600,0.0631,5.2161,0.2506,Verified,No
165,INF0096,Influencer_96,Facebook,Nano,558243,34574,5347,354,CAM00477,2180,32231,Giveaway,40275,0.0721,13.7849,0.0541,Verified,No
166,INF0096,Influencer_96,Youtube,Micro,23031,1643,109,71,CAM00478,4595,18107,Giveaway,1823,0.0792,2.9406,2.5206,Verified,No
170,INF0097,Influencer_97,Instagram,Nano,655224,44321,8724,1513,CAM00481,3908,51619,Product Launch,54558,0.0833,12.2085,0.0716,Verified,No
172,INF0097,Influencer_97,Facebook,Micro,1159,66,7,1,CAM00483,102,465,Product Launch,74,0.0638,3.5588,1.3784,Verified,No
175,INF0023,Influencer_23,Instagram,Macro,371608,20552,3155,237,CAM00112,2346,21734,Giveaway,23944,0.0644,8.2643,0.098,Verified,No
176,INF0098,Influencer_98,Facebook,Micro,950401,70665,3372,3238,CAM00486,867,58799,Product Launch,77275,0.0813,66.8189,0.0112,Verified,Yes
177,INF0050,Influencer_50,Instagram,Micro,517307,42991,2675,1123,CAM00249,4590,31540,Giveaway,46789,0.0904,5.8715,0.0981,Verified,No
178,INF0098,Influencer_98,Instagram,Macro,486610,5388,868,122,CAM00487,4778,14374,Product Launch,6378,0.0131,2.0084,0.7491,Verified,No
179,INF0098,Influencer_98,Youtube,Micro,557690,33934,6107,1115,CAM00488,868,30485,Giveaway,41156,0.0738,34.121,0.0211,Verified,Yes
182,INF0023,Influencer_23,Youtube,Micro,175293,3042,550,142,CAM00113,3694,4520,Giveaway,3734,0.0213,0.2236,0.9893,Verified,No
183,INF0051,Influencer_51,Facebook,Micro,232447,11225,1143,278,CAM00251,1005,8566,Promotion,12646,0.0544,7.5234,0.0795,Verified,No
185,INF0099,Influencer_99,Facebook,Micro,99538,6965,3372,281,CAM00491,3573,19162,Product Launch,10618,0.1067,4.363,0.3365,Verified,No
188,INF0099,Influencer_99,Instagram,Micro,862789,29513,3580,1043,CAM00492,1366,23191,Product Launch,34136,0.0396,15.9773,0.04,Verified,No
189,INF0099,Influencer_99,Youtube,Micro,804940,44168,4759,1971,CAM00493,1428,36819,Product Launch,50898,0.0632,24.7836,0.0281,Verified,Yes
192,INF0024,Influencer_24,Facebook,Macro,368257,4898,430,188,CAM00116,1696,10762,Promotion,5516,0.015,5.3455,0.3075,Verified,No
194,INF0051,Influencer_51,Instagram,Micro,289161,23527,3487,1168,CAM00253,4331,39277,Promotion,28182,0.0975,8.0688,0.1537,Verified,No
195,INF0100,Influencer_100,Youtube,Micro,119581,10668,878,395,CAM00496,1246,8265,Product Launch,11941,0.0999,5.6332,0.1043,Verified,No
197,INF0051,Influencer_51,Youtube,Micro,915699,40790,4889,1771,CAM00254,2964,43102,Giveaway,47450,0.0518,13.5418,0.0625,Verified,No
198,INF0100,Influencer_100,Facebook,Micro,517307,16199,2217,217,CAM00498,284,12471,Giveaway,18633,0.036,42.912,0.0152,Verified,Yes
199,INF0024,Influencer_24,Youtube,Micro,449874,26043,1720,726,CAM00117,1956,20165,Product Launch,28489,0.0633,9.3093,0.0687,Verified,No
202,INF0024,Influencer_24,Instagram,Micro,861120,65760,5086,2141,CAM00118,1346,46744,Giveaway,72987,0.0848,33.7281,0.0184,Verified,Yes
203,INF0101,Influencer_101,Instagram,Micro,811904,61914,6162,2863,CAM00501,4686,58055,Promotion,70939,0.0874,11.389,0.0661,Verified,No
206,INF0101,Influencer_101,Facebook,Micro,930454,27711,1932,1227,CAM00503,3814,22425,Giveaway,30870,0.0332,4.8797,0.1236,Verified,No
207,INF0052,Influencer_52,Facebook,Macro,589612,9564,1105,132,CAM00256,4526,18036,Product Launch,10801,0.0183,2.985,0.419,Verified,No
208,INF0052,Influencer_52,Youtube,Macro,726495,45149,6744,623,CAM00257,3266,41317,Giveaway,52516,0.0723,11.6506,0.0622,Verified,No
211,INF0071,Influencer_71,Facebook,Micro,105555,7100,1165,116,CAM00351,411,6767,Giveaway,8381,0.0794,15.4647,0.049,Verified,No
213,INF0025,Influencer_25,Facebook,Mega,82264,5001,534,117,CAM00121,2789,13036,Product Launch,5652,0.0687,3.6741,0.4935,Verified,No
214,INF0071,Influencer_71,Instagram,Nano,983599,31672,5034,1573,CAM00352,2493,34344,Product Launch,38279,0.0389,12.7762,0.0651,Verified,No
216,INF0025,Influencer_25,Instagram,Mega,953033,30489,3803,707,CAM00122,3498,27846,Product Launch,34999,0.0367,6.9605,0.0999,Verified,No
219,INF0102,Influencer_102,Facebook,Micro,951991,35206,5174,1723,CAM00506,4452,31508,Product Launch,42103,0.0442,6.0773,0.1057,Verified,No
222,INF0053,Influencer_53,Instagram,Macro,596923,26349,3710,639,CAM00261,2262,29106,Product Launch,30698,0.0514,11.8674,0.0737,Verified,No
224,INF0053,Influencer_53,Facebook,Macro,272991,22524,3103,1007,CAM00262,669,19890,Promotion,26634,0.0976,28.7309,0.0251,Verified,Yes
226,INF0053,Influencer_53,Youtube,Macro,475112,9972,1174,472,CAM00264,1058,11003,Promotion,11618,0.0245,9.3998,0.0911,Verified,No
229,INF0102,Influencer_102,Instagram,Micro,779883,70931,11102,3368,CAM00508,3326,71704,Giveaway,85401,0.1095,20.5586,0.0389,Verified,No
230,INF0054,Influencer_54,Youtube,Nano,876825,85559,11723,1725,CAM00266,3299,70550,Giveaway,99007,0.1129,20.3853,0.0333,Verified,No
232,INF0102,Influencer_102,Youtube,Micro,761278,53630,7365,2660,CAM00509,680,45925,Promotion,63655,0.0836,66.5368,0.0107,Verified,Yes
236,INF0103,Influencer_103,Facebook,Nano,170530,12842,1835,588,CAM00511,510,12466,Giveaway,15265,0.0895,23.4431,0.0334,Verified,Yes
237,INF0103,Influencer_103,Instagram,Nano,913743,83678,3470,2988,CAM00512,1122,62519,Product Launch,90136,0.0986,54.721,0.0124,Verified,Yes
238,INF0025,Influencer_25,Youtube,Micro,791756,77919,5205,2019,CAM00125,4220,69350,Promotion,85143,0.1075,15.4336,0.0496,Verified,No
240,INF0054,Influencer_54,Facebook,Macro,398686,9813,767,384,CAM00268,4662,29366,Product Launch,10964,0.0275,5.299,0.4252,Verified,No
242,INF0103,Influencer_103,Youtube,Mega,733081,27250,3436,658,CAM00515,2550,30050,Product Launch,31344,0.0428,10.7843,0.0814,Verified,No
243,INF0104,Influencer_104,Youtube,Micro,832037,68748,8177,2190,CAM00516,1982,56100,Product Launch,79115,0.0951,27.3047,0.0251,Verified,Yes
244,INF0026,Influencer_26,Facebook,Mega,763501,74636,9225,2904,CAM00126,4339,70004,Giveaway,86765,0.1136,15.1337,0.05,Verified,No
245,INF0071,Influencer_71,Youtube,Nano,692211,53380,4290,2579,CAM00355,2684,48759,Promotion,60249,0.087,17.1665,0.0445,Verified,No
246,INF0104,Influencer_104,Facebook,Mega,359402,8955,1046,164,CAM00517,3356,18236,Giveaway,10165,0.0283,4.4338,0.3302,Verified,No
248,INF0026,Influencer_26,Youtube,Micro,190139,10587,3372,154,CAM00128,4799,15605,Product Launch,14113,0.0742,2.2517,0.34,Verified,No
250,INF0072,Influencer_72,Instagram,Nano,746182,27985,5079,1395,CAM00356,2229,29381,Product Launch,34459,0.0462,12.1812,0.0647,Verified,No
253,INF0104,Influencer_104,Instagram,Micro,638199,42943,5356,1127,CAM00519,2543,39548,Giveaway,49426,0.0774,14.5517,0.0515,Verified,No
256,INF0072,Influencer_72,Youtube,Mega,735005,53365,2694,1856,CAM00358,4333,52087,Product Launch,57915,0.0788,11.021,0.0748,Verified,No
257,INF0027,Influencer_27,Youtube,Macro,952891,31366,4774,1267,CAM00131,2044,30752,Promotion,37407,0.0393,14.045,0.0546,Verified,No
260,INF0105,Influencer_105,Instagram,Macro,949377,10706,1867,420,CAM00521,3475,21650,Giveaway,12993,0.0137,5.2302,0.2675,Verified,No
261,INF0027,Influencer_27,Instagram,Nano,623117,29327,3001,1383,CAM00132,4077,41674,Product Launch,33711,0.0541,9.2217,0.1209,Verified,No
262,INF0105,Influencer_105,Facebook,Nano,801554,45633,8971,1838,CAM00522,3262,54119,Giveaway,56442,0.0704,15.5907,0.0578,Verified,No
266,INF0105,Influencer_105,Youtube,Micro,725479,43295,7391,512,CAM00525,2267,38173,Giveaway,51198,0.0706,15.8386,0.0443,Verified,No
267,INF0106,Influencer_106,Youtube,Micro,609577,34332,5879,691,CAM00526,2986,34271,Giveaway,40902,0.0671,10.4772,0.073,Verified,No
268,INF0106,Influencer_106,Instagram,Nano,480083,33422,2265,720,CAM00527,3368,37168,Giveaway,36407,0.0758,10.0356,0.0925,Verified,No
273,INF0107,Influencer_107,Youtube,Mega,707673,64540,11720,3160,CAM00531,4460,62832,Product Launch,79420,0.1122,13.0879,0.0562,Verified,No
274,INF0107,Influencer_107,Instagram,Mega,480336,14689,2841,233,CAM00532,2789.5,14826,Product Launch,17763,0.037,4.3149,0.157,Verified,No
277,INF0073,Influencer_73,Youtube,Mega,247353,15878,848,363,CAM00361,3440,12849,Promotion,17089,0.0691,2.7352,0.2013,Verified,No
279,INF0073,Influencer_73,Facebook,Micro,865661,62836,10172,3096,CAM00362,3024,65608,Product Launch,76104,0.0879,20.6958,0.0397,Verified,No
280,INF0055,Influencer_55,Facebook,Micro,317205,29398,4118,1400,CAM00271,3174,34789,Giveaway,34916,0.1101,9.9606,0.0909,Verified,No
286,INF0108,Influencer_108,Facebook,Micro,783215,20952,2089,926,CAM00536,3021,25618,Giveaway,23967,0.0306,7.48,0.126,Verified,No
287,INF0055,Influencer_55,Instagram,Micro,420139,28798,4745,1354,CAM00274,4164,41443,Product Launch,34897,0.0831,8.9527,0.1193,Verified,No
289,INF0074,Influencer_74,Instagram,Nano,686614,965601,6321,1931,CAM00366,3521,47699,Promotion,973853,1.4183,12.547,0.0036,Suspicious,No
290,INF0108,Influencer_108,Youtube,Macro,415170,6730,1286,203,CAM00537,1440,11674,Giveaway,8219,0.0198,7.1069,0.1752,Verified,No
292,INF0108,Influencer_108,Instagram,Micro,570383,8149,1295,333,CAM00538,2633,15756,Promotion,9777,0.0171,4.984,0.2693,Verified,No
294,INF0056,Influencer_56,Instagram,Nano,239389,16378,1625,576,CAM00276,4139,21226,Product Launch,18579,0.0776,4.1283,0.2228,Verified,No
298,INF0056,Influencer_56,Facebook,Nano,665468,29438,3893,996,CAM00277,785,24261,Product Launch,34327,0.0516,29.9057,0.0229,Verified,Yes
299,INF0027,Influencer_27,Facebook,Nano,692519,42730,7532,666,CAM00134,922,37569,Promotion,50928,0.0735,39.7473,0.0181,Verified,Yes
300,INF0109,Influencer_109,Facebook,Mega,497965,7428,1455,141,CAM00541,3206,12166,Giveaway,9024,0.0181,2.7948,0.3553,Verified,No
303,INF0056,Influencer_56,Youtube,Mega,865008,38216,6859,1175,CAM00279,2551,43516,Promotion,46250,0.0535,16.0584,0.0552,Verified,No
304,INF0028,Influencer_28,Instagram,Nano,808043,31075,4295,1159,CAM00136,1913,29034,Product Launch,36529,0.0452,14.1772,0.0524,Verified,No
306,INF0109,Influencer_109,Instagram,Nano,825834,73867,4268,1303,CAM00542,4989,53471,Giveaway,79438,0.0962,9.7178,0.0628,Verified,No
307,INF0028,Influencer_28,Youtube,Nano,40711,2102,200,83,CAM00137,2240,8458,Promotion,2385,0.0586,2.7759,0.9392,Verified,No
308,INF0074,Influencer_74,Facebook,Micro,917781,27807,2962,791,CAM00369,2053,28370,Giveaway,31560,0.0344,12.8188,0.0651,Verified,No
309,INF0109,Influencer_109,Youtube,Micro,883174,59753,3372,2411,CAM00543,1899,48309,Product Launch,65536,0.0742,24.4392,0.029,Verified,Yes
311,INF0057,Influencer_57,Facebook,Macro,572107,37021,6098,1574,CAM00281,2595,40458,Product Launch,44693,0.0781,14.5908,0.0581,Verified,No
312,INF0028,Influencer_28,Facebook,Micro,536590,11011,2102,386,CAM00139,2085,17429,Promotion,13499,0.0252,7.3592,0.1545,Verified,No
313,INF0057,Influencer_57,Youtube,Micro,714708,60046,6883,2754,CAM00282,3238,60559,Giveaway,69683,0.0975,17.7026,0.0465,Verified,No
317,INF0029,Influencer_29,Instagram,Micro,855211,52415,8615,2362,CAM00141,2962,46706,Promotion,63392,0.0741,14.7684,0.0467,Verified,No
319,INF0057,Influencer_57,Instagram,Nano,441097,11014,1570,340,CAM00284,2591,13420,Product Launch,12924,0.0293,4.1795,0.2005,Verified,No
320,INF0074,Influencer_74,Youtube,Nano,770097,39007,11328,2561,CAM00370,2493,76506,Promotion,52896,0.0687,29.6883,0.0471,Verified,Yes
321,INF0029,Influencer_29,Facebook,Mega,449396,8968,1587,135,CAM00142,2789.5,16736,Promotion,10690,0.0238,4.9996,0.2609,Verified,No
322,INF0110,Influencer_110,Youtube,Mega,540376,23918,2682,960,CAM00546,4588,25750,Giveaway,27560,0.051,4.6125,0.1665,Verified,No
324,INF0075,Influencer_75,Facebook,Mega,530393,48714,8136,500,CAM00371,2906,41092,Product Launch,57350,0.1081,13.1404,0.0507,Verified,No
328,INF0058,Influencer_58,Youtube,Micro,699956,33051,2256,569,CAM00286,3229,25298,Giveaway,35876,0.0513,6.8346,0.09,Verified,No
329,INF0110,Influencer_110,Facebook,Micro,744859,49826,3462,1614,CAM00548,2850,41349,Product Launch,54902,0.0737,13.5084,0.0519,Verified,No
331,INF0075,Influencer_75,Youtube,Micro,506659,11056,1214,518,CAM00372,4693,11014,Product Launch,12788,0.0252,1.3469,0.367,Verified,No
332,INF0110,Influencer_110,Instagram,Macro,436928,11136,3193,311,CAM00549,4249,15031,Giveaway,14640,0.0335,2.5375,0.2902,Verified,No
334,INF0058,Influencer_58,Facebook,Macro,995170,10183,1483,311,CAM00289,1293,9911,Promotion,11977,0.012,6.6651,0.108,Verified,No
339,INF0059,Influencer_59,Instagram,Micro,233601,7710,734,302,CAM00291,3733,14544,Giveaway,8746,0.0374,2.8961,0.4268,Verified,No
