Influencer_ID,Influencer_Name,Platform,Influencer_Tier,Followers,Avg_Likes,Avg_Comments,Avg_Shares,Campaign_ID,Campaign_Cost,Revenue,ROI,Campaign_Type
INF0005,Influencer_5,Instagram,Macro,768595,20591,,650,CAM00022,1579,18931,10.99,Product Launch
INF0005,Influencer_5,TikTok,Micro,416192,16073,1068,307,CAM00023,4079,12301,2.02,Giveaway
INF0005,Influencer_5,YouTube,Micro,,11278,575,343,CAM00024,4794,20043,3.18,Giveaway
INF0005,influencer_5,YouTube,Macro,229576,4772,480,227,CAM00025,3495,8748,1.5,Giveaway
INF0006,Influencer_6,TikTok,Macro,594128,27535,1644,555,CAM00026,,19533,13.57,Product Launch
INF0006,Influencer_6,Instagram,Nano,766313,56787,4100,2834,CAM00027,748,42637,56,Giveaway
INF0006,Influencer_6,YouTube,Micro,638147,9338,857,432,CAM00028,3524,19375,4.5,Giveaway
INF0006,influencer_6,Instagram,Nano,743452,40184,7950,790,CAM00029,4981,37899,6.61,Promotion
INF0006,Influencer_6,TikTok,Nano,,3476,553,85,CAM00030,2981,17420,4.84,Product Launch
INF0007,Influencer_7,Instagram,Macro,614333,35766,2272,1552,CAM00031,1197,27730,22.17,Promotion
INF0007,Influencer_7,YouTube,Nano,52663,719,99,26,CAM00032,1419,4539,2.2,Product Launch
INF0007,Influencer_7,TikTok,Micro,763002,31572,2034,1503,CAM00033,2009,26343,12.11,Product Launch
INF0007,Influencer_7,YouTube,Micro,888121,75840,11478,2988,CAM00034,4111,"$76,040 ",17.5,Product Launch
INF0007,Influencer_7,TikTok,Macro,148718,10320,1781,332,CAM00035,3693,14676,2.97,Giveaway
INF0008,Influencer_8,YouTube,Macro,687976,,2333,581,CAM00036,4140,16569,3,Giveaway
INF0008,Influencer_8,Instagram,Nano,270544,11208,1780,514,CAM00037,3241,23870,6.37,Product Launch
INF0008,Influencer_8,Instagram,Macro,423515,7442,552,341,CAM00038,3973,17599,3.43,Promotion
INF0008,Influencer_8,YouTube,Micro,913495,17477,2613,178,CAM00039,4483,25052,4.59,Promotion
INF0008,Influencer_8,TikTok,Macro,782474,,4494,2068,CAM00040,4543,46669,9.27,Promotion
INF0009,Influencer_9,YouTube,Micro,660347,28383,4587,1102,CAM00041,4785,"$37,905 ",6.92,Promotion
INF0009,influencer_9,Instagram,Micro,726451,40531,5895,811,CAM00042,1743,39233,21.51,Product Launch
INF0009,Influencer_9,YouTube,Macro,135508,7291,1355,199,CAM00043,4943,22896,3.63,Giveaway
INF0009,Influencer_9,TikTok,Micro,958294,52060,4127,2025,CAM00044,4804,51038,9.62,Promotion
INF0009,influencer_9,YouTube,Nano,897048,12490,2487,359,CAM00045,1119,15859,13.17,Product Launch
INF0010,Influencer_10,YouTube,Micro,179274,13856,2673,321,CAM00046,351,13281,36.84,Product Launch
INF0010,Influencer_10,Instagram,Macro,460451,39953,3762,1014,CAM00047,1234,30024,23.33,Promotion
INF0010,Influencer_10,YouTube,Nano,255079,11106,1212,486,CAM00048,"$1,945 ",9931,4.11,Product Launch
INF0010,Influencer_10,YouTube,Nano,767577,50161,9957,782,CAM00049,204,41953,204.65,Giveaway
INF0010,Influencer_10,TikTok,Nano,177089,,2098,517,CAM00050,2856,17792,5.23,Product Launch
INF0011,Influencer_11,YouTube,Micro,445209,39194,7328,1193,CAM00051,4181,50085,10.98,Promotion
INF0011,Influencer_11,TikTok,Micro,265512,4350,476,52,CAM00052,1216,5656,3.65,Promotion
 INF0011 ,Influencer_11,YouTube,Nano,997161,49322,7437,1140, CAM00053 ,3819,49331,11.92,Giveaway
INF0011,Influencer_11,TikTok,Micro,706660,60422,10819,1209,CAM00054,,69139,13.32,Product Launch
INF0011,Influencer_11,TikTok,Macro,358429,20909,2069,901,CAM00055,3101,30380,8.8,Product Launch
INF0012,Influencer_12,Instagram,Macro,612523,52543,4159,1389,CAM00056,4414,56752,11.86,Promotion
 INF0012 ,Influencer_12,YouTube,Nano,871045,11929,1310,326, CAM00057 ,1419,9452,5.66,Promotion
INF0012,Influencer_12,YouTube,Micro,9308,160,18,6,CAM00058,1714,2312,0.35,Promotion
INF0012,Influencer_12,YouTube,Nano,804328,40064,3444,551,CAM00059,3722,39218,9.54,Promotion
 INF0012 ,Influencer_12,YouTube,Micro,639836,43153,5502,1565, CAM00060 ,630,35008,54.57,Giveaway
INF0013,Influencer_13,TikTok,Macro,715998,10234,1380,167,CAM00061,2794,13216,3.73,Giveaway
INF0013,Influencer_13,Instagram,Nano,10435,147,8,6,CAM00062,"$3,109 ",4104,0.32,Giveaway
INF0013,Influencer_13,YouTube,Micro,307063,5774,714,167,CAM00063,1807,10479,4.8,Giveaway
INF0013,Influencer_13,Instagram,Micro,891617,58335,8473,689,CAM00064,3780,53703,13.21,Giveaway
INF0013,Influencer_13,YouTube,Micro,192232,11254,1717,389,CAM00065,385,"$10,285 ",25.71,Giveaway
INF0014,Influencer_14,Instagram,Macro,,54588,7940,2294,CAM00066,1981,48242,23.35,Promotion
INF0014,Influencer_14,TikTok,Micro,953699,20566,3530,880,CAM00067,3963,23005,4.8,Giveaway
INF0014,Influencer_14,YouTube,Macro,152836,2482,161,26,CAM00068,2596,10054,2.87,Promotion
INF0014,Influencer_14,TikTok,Mega,552638,9067,887,397,CAM00069,1675,10062,5.01,Giveaway
INF0014,Influencer_14,TikTok,Macro,844890,29881,2023,1131,CAM00070,"$1,566 ",27620,16.64,Promotion
INF0015,Influencer_15,Instagram,Mega,532831,40578,6919,863,CAM00071,3515,"$40,849 ",10.62,Promotion
INF0015,Influencer_15,Instagram,Micro,692095,57177,11353,1515,CAM00072,2193,53107,23.22,Promotion
INF0015,Influencer_15,YouTube,Macro,401573,24322,2086,904,CAM00073,2376,26353,10.09,Giveaway
INF0015,Influencer_15,YouTube,Micro,415568,18283,2379,545,CAM00074,778,15309,18.68,Product Launch
INF0015,Influencer_15,Instagram,Macro,67234,1277,74,61,CAM00075,4221,9723,1.3,Promotion
INF0016,Influencer_16,YouTube,Micro,60163,5745,1106,189,CAM00076,,5395,26.95,Product Launch
INF0016,Influencer_16,Instagram,Micro,628083,24859,3750,996,CAM00077,3272,33186,9.14,Giveaway
INF0016,Influencer_16,TikTok,Micro,788494,14357,1782,176,CAM00078,3344,12716,2.8,Giveaway
INF0016,Influencer_16,TikTok,Mega,942218,84699,8693,1243,CAM00079,1003,61166,59.98,Giveaway
INF0016,Influencer_16,Instagram,Nano,,17872,2035,337,CAM00080,3043,26397,7.67,Promotion
INF0017,Influencer_17,TikTok,Macro,518313,,563,444,CAM00081,1438,9338,5.49,Giveaway
INF0017,Influencer_17,Instagram,Macro,239067,7483,1392,251,CAM00082,1877,10448,4.57,Promotion
INF0017,Influencer_17,Instagram,Micro,20870,1113,118,42,CAM00083,763,4310,4.65,Promotion
INF0017,Influencer_17,Instagram,Nano,488462,23983,2111,628,CAM00084,3759,19245,4.12,Giveaway
INF0017,Influencer_17,TikTok,Mega,,56292,9762,2238,CAM00085,2046,50474,23.67,Giveaway
INF0018,Influencer_18,TikTok,Nano,329184,14397,1336,644,CAM00086,183,11242,60.43,Promotion
INF0018,Influencer_18,TikTok,Micro,505492,49178,2777,2244,CAM00087,2983,47145,14.8,Product Launch
INF0018,Influencer_18,TikTok,Nano,732899,12196,1623,594,CAM00088,1306,11647,7.92,Promotion
INF0018,Influencer_18,TikTok,Micro,260214,13247,,442,CAM00089,2753,20879,6.58,Product Launch
 INF0018 ,Influencer_18,Instagram,Nano,925618,32661,6289,1489, CAM00090 ,3069,31750,9.35,Product Launch
INF0019,Influencer_19,Instagram,Micro,906588,31698,2479,904,CAM00091,2795,25658,8.18,Giveaway
INF0019,Influencer_19,YouTube,Micro,296451,5038,988,249,CAM00092,2558,13659,4.34,Product Launch
INF0019,Influencer_19,TikTok,Macro,83844,1843,113,87,CAM00093,305,2215,6.26,Promotion
INF0019,Influencer_19,TikTok,Micro,994176,47364,8994,2114,CAM00094,,43737,40.07,Giveaway
INF0019,influencer_19,TikTok,Nano,28712,1528,302,38,CAM00095,4208,10838,1.58,Promotion
INF0020,Influencer_20,TikTok,Micro,270114,23173,4072,666,CAM00096,560,19995,34.71,Giveaway
INF0020,Influencer_20,YouTube,Macro,959447,16101,2475,505,CAM00097,"$1,718 ","$21,336 ",11.42,Giveaway
INF0020,Influencer_20,TikTok,Nano,51612,3234,513,130,CAM00098,4228,9466,1.24,Promotion
INF0020,Influencer_20,YouTube,Mega,450613,12821,1124,269,CAM00099,4594,24817,4.4,Promotion
INF0020,Influencer_20,Instagram,Macro,895751,12738,,138,CAM00100,299,9219,29.83,Giveaway
INF0021,Influencer_21,TikTok,Micro,437341,37096,3567,1582,CAM00101,285,27924,96.98,Promotion
INF0021,Influencer_21,YouTube,Mega,811717,65963,9135,1926,CAM00102,3328,63951,18.22,Giveaway
INF0021,Influencer_21,YouTube,Micro,865141,63472,5201,980,CAM00103,4909,65610,12.37,Product Launch
INF0021,Influencer_21,Instagram,Macro,764185,48214,5247,1325,CAM00104,4592,51933,10.31,Giveaway
INF0021,Influencer_21,Instagram,Macro,357600,502901.3425,3370,520,CAM00105,4904,30160,5.15,Product Launch
INF0022,Influencer_22,TikTok,Micro,568376,54255,3909,2553,CAM00106,2882,42887,13.88,Product Launch
INF0022,Influencer_22,Instagram,Micro,,9199,1316,219,CAM00107,3868,19034,3.92,Promotion
INF0022,Influencer_22,TikTok,Micro,46002,,53,11,CAM00108,3495,13208,2.78,Giveaway
INF0022,Influencer_22,TikTok,Mega,583531,15387,1567,705,CAM00109,3316,20800,5.27,Promotion
INF0022,Influencer_22,YouTube,Macro,902791,23029,1815,267,CAM00110,4749,24574,4.17,Product Launch
INF0023,Influencer_23,TikTok,Nano,286205,5146,350,146,CAM00111,2443,14442,4.91,Product Launch
INF0023,Influencer_23,Instagram,Macro,371608,20552,3155,237,CAM00112,2346,21734,8.26,Giveaway
INF0023,Influencer_23,YouTube,Micro,175293,3042,550,142,CAM00113,3694,4520,0.22,Giveaway
INF0023,Influencer_23,YouTube,Mega,589579,48674,7896,845,CAM00114,2816,46078,15.36,Giveaway
INF0023,Influencer_23,Instagram,Nano,918559,49241,7028,1219,CAM00115,3337,50088,14.01,Promotion
INF0024,Influencer_24,TikTok,Macro,368257,4898,430,188,CAM00116,1696,"$10,762 ",5.35,Promotion
 INF0024 ,Influencer_24,YouTube,Micro,449874,26043,1720,726, CAM00117 ,1956,20165,9.31,Product Launch
INF0024,Influencer_24,Instagram,Micro,861120,65760,5086,2141,CAM00118,1346,46744,33.73,Giveaway
INF0024,Influencer_24,Instagram,Macro,451009,26239,2229,622,CAM00119,,21174,11.81,Giveaway
INF0024,Influencer_24,Instagram,Micro,607440,33324,2100,1049,CAM00120,"$4,768 ",40288,7.45,Product Launch
INF0025,Influencer_25,TikTok,Mega,82264,5001,534,117,CAM00121,2789,13036,3.67,Product Launch
INF0025,Influencer_25,Instagram,Mega,953033,30489,3803,707,CAM00122,3498,27846,6.96,Product Launch
 INF0025 ,influencer_25,TikTok,Micro,945789,28638,3001,845, CAM00123 ,3471,25160,6.25,Product Launch
INF0025,Influencer_25,TikTok,Nano,787237,,3790,2838,CAM00124,$292 ,44014,149.73,Giveaway
INF0025,Influencer_25,YouTube,Micro,791756,77919,5205,2019,CAM00125,4220,69350,15.43,Promotion
INF0026,Influencer_26,TikTok,Mega,763501,74636,9225,2904,CAM00126,4339,70004,15.13,Giveaway
INF0026,Influencer_26,TikTok,Micro,342383,18110,3183,329,CAM00127,1191,18893,14.86,Product Launch
INF0026,Influencer_26,YouTube,Micro,190139,10587,,154,CAM00128,4799,15605,2.25,Product Launch
INF0026,Influencer_26,TikTok,Mega,789260,43842,8321,1000,CAM00129,3794,44603,10.76,Product Launch
INF0026,Influencer_26,TikTok,Nano,715743,15816,941,784,CAM00130,2110,18442,7.74,Promotion
 INF0027 ,Influencer_27,YouTube,Macro,952891,31366,4774,1267, CAM00131 ,2044,30752,14.05,Promotion
INF0027,Influencer_27,Instagram,Nano,623117,29327,3001,1383,CAM00132,4077,41674,9.22,Product Launch
INF0027,Influencer_27,YouTube,Nano,128309,12056,2394,219,CAM00133,1620,17620,9.88,Promotion
INF0027,Influencer_27,TikTok,Nano,692519,42730,7532,666,CAM00134,922,37569,39.75,Promotion
INF0027,Influencer_27,Instagram,Mega,949027,23468,1751,999,CAM00135,127,16720,130.65,Giveaway
INF0028,Influencer_28,Instagram,Nano,808043,31075,4295,1159,CAM00136,1913,29034,14.18,Product Launch
INF0028,Influencer_28,YouTube,Nano,40711,2102,200,83,CAM00137,2240,8458,2.78,Promotion
INF0028,Influencer_28,Instagram,Macro,593016,53941,5803,1712,CAM00138,3737,44818,10.99,Giveaway
INF0028,Influencer_28,TikTok,Micro,536590,11011,2102,386,CAM00139,2085,17429,7.36,Promotion
INF0028,Influencer_28,Instagram,Macro,657282,53222,,1195,CAM00140,1000,35951,34.95,Product Launch
INF0029,Influencer_29,Instagram,Micro,855211,52415,8615,2362,CAM00141,2962,46706,96.7445334,Promotion
INF0029,Influencer_29,TikTok,Mega,449396,8968,1587,135,CAM00142,,16736,4.11,Promotion
INF0029,Influencer_29,Instagram,Micro,127108,3893,616,151,CAM00143,144,3632,24.22,Promotion
INF0029,Influencer_29,Instagram,Micro,338827,19938,1749,475,CAM00144,4156,33557,7.07,Giveaway
INF0029,Influencer_29,Instagram,Micro,601613,18326,2080,394,CAM00145,412,13561,31.92,Giveaway
INF0030,Influencer_30,Instagram,Nano,207988,4683,304,94,CAM00146,1689,10458,5.19,Promotion
INF0030,Influencer_30,Instagram,Macro,696275,42376,6546,1987,CAM00147,176,35189,198.94,Product Launch
INF0030,Influencer_30,TikTok,Macro,501315,21907,1321,286,CAM00148,3583,"$30,363 ",7.47,Product Launch
INF0030,Influencer_30,Instagram,Nano,135869,12494,854,242,CAM00149,3467,22833,5.59,Product Launch
INF0030,Influencer_30,Instagram,Micro,649373,55439,5534,1245,CAM00150,2758,44597,15.17,Giveaway
INF0031,Influencer_31,TikTok,Micro,469276,18849,,191,CAM00151,624,16100,24.8,Giveaway
INF0031,Influencer_31,TikTok,Macro,764978,71193,8532,2081,CAM00152,3650,64024,16.54,Giveaway
INF0031,Influencer_31,Instagram,Mega,567202,28768,2046,490,CAM00153,2040,20972,9.28,Giveaway
INF0031,Influencer_31,YouTube,Nano,807388,74551,7780,2476,CAM00154,4807,61062,11.7,Giveaway
INF0031,Influencer_31,YouTube,Micro,148313,10340,793,500,CAM00155,738,9579,11.98,Product Launch
INF0032,Influencer_32,Instagram,Mega,156989,2775,553,83,CAM00156,1842,"$5,873 ",2.19,Giveaway
INF0032,Influencer_32,Instagram,Micro,436165,33801,2754,1552,CAM00157,2129,29685,12.94,Giveaway
INF0032,Influencer_32,TikTok,Nano,,12577,1519,409,CAM00158,2115,13241,5.26,Product Launch
INF0032,Influencer_32,YouTube,Micro,825690,41941,5396,1158,CAM00159,2211,37431,15.93,Product Launch
INF0032,Influencer_32,Instagram,Micro,944026,22629,1748,1006,CAM00160,4945,24480,25.87277637,Product Launch
INF0033,Influencer_33,YouTube,Macro,918458,62418,6947,687,CAM00161,1873,49974,25.68,Product Launch
INF0033,Influencer_33,YouTube,Nano,999748,46706,6200,941,CAM00162,2540,41582,15.37,Giveaway
INF0033,Influencer_33,YouTube,Nano,337199,6531,1110,111,CAM00163,3725,11007,1.95,Giveaway
INF0033,Influencer_33,YouTube,Micro,328073,27058,5365,923,CAM00164,2588,35927,12.88,Giveaway
INF0033,Influencer_33,TikTok,Micro,317915,22294,1800,484,CAM00165,993,15699,14.81,Promotion
INF0034,Influencer_34,Instagram,Nano,791857,14012,1137,154,CAM00166,"$3,502 ",24582,6.02,Giveaway
INF0034,Influencer_34,YouTube,Micro,444676,21312,3919,909,CAM00167,3644,24428,5.7,Product Launch
INF0034,Influencer_34,Instagram,Micro,231785,9891,545,427,CAM00168,854,8617,9.09,Giveaway
INF0034,Influencer_34,Instagram,Nano,,8327,1491,156,CAM00169,3627,20988,4.79,Giveaway
INF0034,Influencer_34,TikTok,Micro,948479,19236,2594,950,CAM00170,4273,21047,3.93,Product Launch
INF0035,Influencer_35,YouTube,Micro,684889,8233,743,260,CAM00171,286,6412,21.42,Giveaway
INF0035,influencer_35,Instagram,Mega,24752,557,97,27,CAM00172,491,2713,4.53,Promotion
INF0035,Influencer_35,YouTube,Micro,257609,8889,468,413,CAM00173,3974,22535,4.67,Promotion
INF0035,Influencer_35,TikTok,Mega,189456,,874,236,CAM00174,4733,11829,1.5,Promotion
INF0035,Influencer_35,Instagram,Micro,41809,,84,19,CAM00175,4876,16182,2.32,Promotion
 INF0036 ,Influencer_36,Instagram,Micro,752883,50427,6260,1660, CAM00176 ,3522,46321,12.15,Giveaway
INF0036,Influencer_36,YouTube,Macro,352707,27998,3172,676,CAM00177,1436,22018,14.33,Giveaway
INF0036,Influencer_36,Instagram,Micro,22172,1425,123,36,CAM00178,2108,"$5,396 ",1.56,Promotion
INF0036,Influencer_36,TikTok,Micro,223320,16735,2369,802,CAM00179,4200,28168,5.71,Promotion
INF0036,Influencer_36,TikTok,Nano,,5936,727,123,CAM00180,,5648,6.06,Promotion
INF0037,Influencer_37,TikTok,Nano,461514,39569,7002,1907,CAM00181,531,35856,66.53,Giveaway
INF0037,Influencer_37,YouTube,Micro,500137,9799,600,383,CAM00182,1290,11302,7.76,Giveaway
INF0037,Influencer_37,TikTok,Nano,608847,29915,2601,1279,CAM00183,1302,22081,15.96,Promotion
INF0037,Influencer_37,Instagram,Macro,731546,25233,3495,616,CAM00184,3165,32173,9.17,Product Launch
INF0037,influencer_37,YouTube,Micro,794392,17725,3412,493,CAM00185,4157,27182,5.54,Giveaway
INF0038,Influencer_38,YouTube,Micro,615615,48175,7025,1944,CAM00186,2471,46834,17.95,Product Launch
INF0038,Influencer_38,YouTube,Nano,465071,15100,1863,284,CAM00187,4043,13872,2.43,Giveaway
INF0038,Influencer_38,Instagram,Nano,517142,7227,999,361,CAM00188,3207,20649,5.44,Giveaway
INF0038,Influencer_38,Instagram,Nano,45813,955,152,16,CAM00189,1571,4504,1.87,Giveaway
INF0038,Influencer_38,Instagram,Micro,756164,39834,7142,1744,CAM00190,4547,47081,9.35,Promotion
INF0039,Influencer_39,YouTube,Macro,67150,895,124,17,CAM00191,180,1321,6.34,Giveaway
INF0039,influencer_39,Instagram,Micro,135055,6711,742,220,CAM00192,4009,16645,3.15,Product Launch
INF0039,Influencer_39,Instagram,Mega,842052,58563,9409,1804,CAM00193,542,48776,88.99,Product Launch
INF0039,Influencer_39,TikTok,Macro,212837,10125,1207,502,CAM00194,4396,27378,5.23,Product Launch
INF0039,Influencer_39,YouTube,Mega,553076,24643,,315,CAM00195,863,21763,24.22,Promotion
 INF0040 ,Influencer_40,TikTok,Micro,423845,7616,423,222, CAM00196 ,321,6309,18.65,Promotion
INF0040,Influencer_40,YouTube,Macro,846038,38787,2472,909,CAM00197,4485,42048,8.38,Product Launch
INF0040,Influencer_40,Instagram,Micro,33733,347,41,7,CAM00198,2083,"$4,067 ",0.95,Product Launch
INF0040,Influencer_40,Instagram,Mega,900005,56718,5194,2632,CAM00199,2682,44076,15.43,Product Launch
INF0040,Influencer_40,Instagram,Nano,,8806,728,422,CAM00200,2158,9932,3.6,Giveaway
INF0041,Influencer_41,YouTube,Mega,754019,35877,6524,1714,CAM00201,60,31426,522.77,Giveaway
INF0041,Influencer_41,Instagram,Micro,736457,18435,3662,355,CAM00202,934,19378,19.75,Product Launch
INF0041,Influencer_41,Instagram,Nano,952661,29304,2241,551,CAM00203,2850,"$32,817 ",10.51,Product Launch
INF0041,Influencer_41,YouTube,Nano,146271,6071,356,296,CAM00204,2786,12051,3.33,Giveaway
INF0041,Influencer_41,YouTube,Nano,456699,45460,3458,1175,CAM00205,2787,37820,12.57,Product Launch
INF0042,Influencer_42,TikTok,Macro,375999,34129,4078,1191,CAM00206,942,28310,29.05,Product Launch
INF0042,Influencer_42,TikTok,Micro,716080,64835,11606,1834,CAM00207,2732,56452,19.66,Giveaway
INF0042,Influencer_42,YouTube,Nano,328304,4594,816,52,CAM00208,,23261,4.56,Giveaway
INF0042,Influencer_42,TikTok,Nano,452978,8076,898,201,CAM00209,4022,8680,1.16,Promotion
INF0042,Influencer_42,YouTube,Micro,567161,9808,814,366,CAM00210,4086,27130,5.64,Product Launch
INF0043,Influencer_43,YouTube,Micro,126991,11360,1447,525,CAM00211,"$1,641 ",14610,7.9,Promotion
INF0043,Influencer_43,TikTok,Micro,334863,20398,1836,920,CAM00212,2433,23218,8.54,Promotion
INF0043,influencer_43,Instagram,Macro,491042,43239,6756,1880,CAM00213,"$1,766 ",41801,22.67,Product Launch
INF0043,Influencer_43,Instagram,Micro,873638,63696,4992,2883,CAM00214,606,47782,77.85,Product Launch
INF0043,Influencer_43,Instagram,Micro,836570,74552,3785,3190,CAM00215,3558,63016,16.71,Product Launch
INF0044,Influencer_44,Instagram,Nano,496518,5015,669,201,CAM00216,1597,4757,1.98,Product Launch
INF0044,influencer_44,Instagram,Nano,743623,13064,1292,423,CAM00217,4505,16835,2.74,Product Launch
INF0044,Influencer_44,TikTok,Nano,931491,10075,1740,152,CAM00218,2564,18014,6.03,Promotion
INF0044,Influencer_44,Instagram,Macro,30257,1479,260,37,CAM00219,2432,12619,4.19,Promotion
INF0044,Influencer_44,YouTube,Mega,923588,74803,5689,3054,CAM00220,4876,58131,10.92,Promotion
INF0045,influencer_45,TikTok,Macro,998899,16043,2203,382,CAM00221,4619,15952,2.45,Promotion
 INF0045 ,Influencer_45,YouTube,Macro,515257,45568,8932,2221, CAM00222 ,3797,53587,13.11,Promotion
INF0045,Influencer_45,Instagram,Micro,677787,53032,2847,577,CAM00223,4049,48002,10.86,Giveaway
INF0045,Influencer_45,TikTok,Micro,816673,8242,608,236,CAM00224,565,6871,11.16,Product Launch
INF0045,Influencer_45,Instagram,Macro,925044,80366,10371,3458,CAM00225,1148,64369,55.07,Giveaway
INF0046,Influencer_46,YouTube,Nano,454761,36178,3057,551,CAM00226,"$3,828 ",42070,9.99,Promotion
INF0046,Influencer_46,Instagram,Macro,769747,9866,1575,457,CAM00227,4076,27938,5.85,Promotion
INF0046,Influencer_46,Instagram,Micro,,12593,2488,332,CAM00228,4013,25780,5.42,Product Launch
INF0046,Influencer_46,Instagram,Nano,,29047,,1047,CAM00229,1859,27159,13.61,Promotion
INF0046,Influencer_46,TikTok,Micro,281783,16594,1226,301,CAM00230,3726,25622,5.88,Giveaway
INF0047,Influencer_47,TikTok,Macro,730678,37142,4811,397,CAM00231,4494,31482,6.01,Product Launch
INF0047,Influencer_47,YouTube,Micro,239260,22027,4298,383,CAM00232,576,19762,33.31,Promotion
INF0047,Influencer_47,YouTube,Nano,519349,33160,4678,659,CAM00233,570,25714,44.11,Product Launch
INF0047,influencer_47,YouTube,Micro,600032,14685,2169,338,CAM00234,2483,21425,7.63,Product Launch
INF0047,Influencer_47,TikTok,Micro,255346,25174,1823,719,CAM00235,2063,21434,9.39,Product Launch
INF0048,Influencer_48,TikTok,Nano,870741,85091,13468,3087,CAM00236,778,72321,91.96,Product Launch
INF0048,Influencer_48,TikTok,Micro,283725,26018,4127,1039,CAM00237,1626,23861,13.67,Product Launch
INF0048,Influencer_48,YouTube,Nano,388960,23874,,699,CAM00238,2770,23584,7.51,Product Launch
INF0048,Influencer_48,YouTube,Macro,23431,32951.56979,135,69,CAM00239,4094,"$5,017 ",0.23,Promotion
INF0048,Influencer_48,YouTube,Micro,220724,3768,412,57,CAM00240,139,3116,21.42,Giveaway
 INF0049 ,Influencer_49,Instagram,Micro,,17959,1008,661, CAM00241 ,1945,18356,8.44,Giveaway
INF0049,Influencer_49,Instagram,Micro,760746,68969,9601,2390,CAM00242,2320,60477,25.07,Giveaway
INF0049,Influencer_49,YouTube,Macro,328025,30889,5933,1081,CAM00243,1157,28851,23.94,Promotion
INF0049,Influencer_49,TikTok,Macro,550114,29483,4396,946,CAM00244,3511,37895,9.79,Product Launch
INF0049,Influencer_49,TikTok,Nano,730497,38921,2183,644,CAM00245,4159,27630,5.64,Giveaway
INF0050,Influencer_50,YouTube,Micro,212957,13500,1991,393,CAM00246,1316,12478,8.48,Product Launch
INF0050,Influencer_50,TikTok,Micro,152094,7957,1286,357,CAM00247,2406,14956,5.22,Product Launch
INF0050,Influencer_50,TikTok,Micro,640282,15719,835,567,CAM00248,4694,33638,6.17,Product Launch
INF0050,Influencer_50,Instagram,Micro,,42991,2675,1123,CAM00249,4590,31540,5.87,Giveaway
INF0050,Influencer_50,YouTube,Nano,580518,16441,2894,278,CAM00250,208,13610,64.43,Giveaway
INF0051,Influencer_51,TikTok,Micro,232447,11225,1143,278,CAM00251,1005,8566,7.52,Promotion
INF0051,Influencer_51,TikTok,Macro,379544,,2951,238,CAM00252,3861,32684,7.47,Product Launch
INF0051,influencer_51,Instagram,Micro,289161,23527,3487,1168,CAM00253,4331,39277,8.07,Promotion
INF0051,Influencer_51,YouTube,Micro,915699,40790,4889,1771,CAM00254,2964,43102,13.54,Giveaway
INF0051,Influencer_51,Instagram,Micro,158795,14579,1121,284,CAM00255,51,9606,187.35,Promotion
INF0052,Influencer_52,TikTok,Macro,589612,9564,1105,132,CAM00256,4526,18036,2.98,Product Launch
